"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1749","Unknown product URL shows the 404 page","chromium","2026-09-22","passed","2026-09-22","Product details","products/product-details.spec.ts","",""
"","1732","Nonsense search term shows a ""no results"" message","chromium","2026-09-22","passed","2026-09-22","Product search","products/search.spec.ts","",""
"","165","Sold-out products are flagged as unavailable by the API","chromium","2026-09-22","passed","2026-09-22","Storefront API","products/products-api.spec.ts","",""
"","2723","Browser validation flags malformed email ""user@""","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"","2806","Searching ""jacket"" returns the matching products","chromium","2026-09-22","passed","2026-09-22","Product search","products/search.spec.ts","",""
"Uses **soft assertions** so a single broken card does not hide problems on the others — all findings are reported together.","1815","Every product card shows a name, a price and an image","chromium","2026-09-22","passed","2026-09-22","Product catalog","products/catalog.spec.ts","",""
"","505","SKIPPED: feature toggled off in this environment","chromium","2026-09-22","skipped","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"","2451","Browser console capture and analysis","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase","showcase/allure-features.spec.ts","",""
"","2765","Searching ""sandals"" returns the matching products","chromium","2026-09-22","passed","2026-09-22","Product search","products/search.spec.ts","",""
"","3355","Network and performance metrics for key pages","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase","showcase/allure-features.spec.ts","",""
"","9099","An invalid discount code is rejected","chromium","2026-09-22","passed","2026-09-22","Checkout","checkout/checkout.spec.ts","",""
"","8172","Pay now with an empty form lists every required field","chromium","2026-09-22","passed","2026-09-22","Checkout","checkout/checkout.spec.ts","",""
"Verifies the **customer login** page is reachable and complete.

| Element | Expectation |
|---|---|
| Email field | visible, `type=email` |
| Password field | visible, masked |
| Sign In button | enabled |
| Forgot password link | visible |","2048","Login page renders every element a customer needs to sign in","chromium","2026-09-22","passed","2026-09-22","Customer login","auth/login.spec.ts","",""
"","1","FIXME: wishlist sync is not implemented yet","chromium","2026-09-22","skipped","2026-09-22","Allure feature showcase > Result statuses","showcase/allure-features.spec.ts","",""
"","1933","Parameters demo (attempt 1)","chromium","2026-09-22","passed","2026-09-22","Allure feature showcase > Metadata","showcase/allure-features.spec.ts","",""
"","1506","Rich metadata: labels, links, severity and descriptions","Allure Showcase","2026-09-22","passed","2026-09-22","Labels & links","Metadata","",""
